iter	Passed	Remaining
467	700	796
468	701	793
469	702	791
470	703	789
471	704	787
472	705	785
473	705	783
474	706	781
475	707	779
476	708	776
477	709	774
478	710	772
479	711	770
480	712	768
481	713	766
482	714	764
483	715	762
484	716	760
485	717	758
486	718	756
487	719	754
488	720	752
489	721	750
490	721	748
491	722	746
492	723	744
493	724	742
494	725	740
495	726	738
496	727	736
497	728	734
498	729	732
499	730	730
500	731	728
501	732	726
502	733	724
503	734	722
504	735	720
505	736	718
506	737	716
507	738	715
508	739	713
509	740	711
510	741	709
511	742	707
512	743	705
513	744	704
514	746	702
515	747	700
516	748	698
517	748	696
518	749	695
519	751	693
520	752	691
521	752	689
522	753	687
523	754	685
524	755	683
525	756	681
526	757	680
527	759	678
528	760	677
529	761	675
530	762	673
531	763	671
532	764	669
533	765	667
534	766	666
535	767	664
536	768	662
537	769	660
538	770	658
539	771	656
540	772	655
541	773	653
542	774	651
543	775	649
544	776	648
545	777	646
546	778	644
547	779	642
548	780	640
549	781	639
550	782	637
551	783	635
552	783	633
553	784	631
554	785	630
555	787	628
556	788	626
557	789	625
558	790	623
559	791	621
560	792	619
561	793	618
562	794	616
563	795	614
564	796	612
565	797	611
566	797	609
567	798	607
568	799	605
569	800	604
570	801	602
571	803	601
572	804	599
573	805	597
574	806	595
575	807	594
576	808	592
577	809	590
578	810	589
579	811	587
580	812	585
581	813	583
582	814	582
583	815	580
584	816	579
585	817	577
586	818	575
587	819	573
588	820	572
589	821	570
590	822	569
591	823	567
592	824	565
593	825	564
594	826	562
595	827	560
596	828	559
597	829	557
598	830	555
599	831	554
600	832	552
601	833	550
602	834	549
603	835	547
604	836	546
605	837	544
606	838	542
607	839	540
608	839	539
609	840	537
610	842	536
611	843	534
612	844	532
613	845	531
614	846	529
615	847	528
616	848	526
617	849	524
618	850	523
619	851	521
620	852	520
621	853	518
622	854	516
623	855	515
624	856	513
625	857	512
626	858	510
627	859	508
628	860	507
629	861	505
630	862	504
631	863	502
632	864	501
633	865	499
634	866	498
635	867	496
636	868	494
637	869	493
638	870	491
639	871	490
640	872	488
641	873	487
642	874	485
643	875	483
644	876	482
645	877	480
646	878	479
647	879	477
648	880	476
649	881	474
650	882	472
651	883	471
652	884	469
653	885	468
654	886	466
655	887	465
656	888	463
657	888	462
658	889	460
659	890	458
660	891	457
661	893	455
662	894	454
663	895	452
664	896	451
665	897	449
666	898	448
667	899	447
668	900	445
669	901	444
670	902	442
671	903	440
672	904	439
673	905	437
674	906	436
675	907	435
676	908	433
677	909	431
678	910	430
679	911	429
680	912	427
681	913	426
682	914	424
683	915	423
684	916	421
685	918	420
686	919	418
687	920	417
688	921	415
689	922	414
690	923	412
691	924	411
692	925	410
693	926	408
694	927	407
695	928	405
696	929	404
697	930	402
698	931	401
699	932	399
700	933	398
701	934	396
702	935	395
703	937	394
704	938	392
705	939	391
706	940	389
707	941	388
708	942	386
709	943	385
710	944	383
711	945	382
712	946	380
713	947	379
714	948	377
715	949	376
716	950	375
717	951	373
718	953	372
719	954	371
720	955	369
721	956	368
722	957	366
723	958	365
724	959	364
725	960	362
726	961	361
727	963	359
728	964	358
729	964	356
730	966	355
731	967	354
732	968	352
733	969	351
734	970	350
735	971	348
736	972	347
737	973	345
738	974	344
739	975	342
740	976	341
741	977	339
742	979	338
743	980	337
744	982	336
745	983	334
746	984	333
747	985	332
748	986	330
749	987	329
750	989	327
751	989	326
752	990	325
753	991	323
754	992	322
755	993	320
756	995	319
757	996	318
758	997	316
759	998	315
760	999	313
761	1000	312
762	1001	311
763	1002	309
764	1003	308
765	1004	306
766	1005	305
767	1006	303
768	1007	302
769	1008	301
770	1009	299
771	1010	298
772	1012	297
773	1013	295
774	1014	294
775	1015	293
776	1016	291
777	1017	290
778	1018	288
779	1019	287
780	1020	286
781	1021	284
782	1022	283
783	1023	282
784	1024	280
785	1026	279
786	1027	277
787	1028	276
788	1029	275
789	1030	273
790	1031	272
791	1032	271
792	1033	269
793	1034	268
794	1035	267
795	1036	265
796	1037	264
797	1038	262
798	1039	261
799	1041	260
800	1042	258
801	1043	257
802	1044	256
803	1045	254
804	1046	253
805	1047	252
806	1048	250
807	1049	249
808	1050	248
809	1052	246
810	1053	245
811	1054	244
812	1055	242
813	1056	241
814	1057	240
815	1058	238
816	1059	237
817	1060	236
818	1061	234
819	1063	233
820	1064	232
821	1065	230
822	1066	229
823	1067	228
824	1068	226
825	1070	225
826	1071	224
827	1072	222
828	1074	221
829	1075	220
830	1076	218
831	1077	217
832	1078	216
833	1079	214
834	1080	213
835	1081	212
836	1082	210
837	1083	209
838	1084	208
839	1085	206
840	1086	205
841	1087	204
842	1088	202
843	1089	201
844	1090	200
845	1091	198
846	1093	197
847	1094	196
848	1095	194
849	1096	193
850	1097	192
851	1098	190
852	1099	189
853	1101	188
854	1102	186
855	1103	185
856	1104	184
857	1106	183
858	1107	181
859	1108	180
860	1109	179
861	1110	177
862	1111	176
863	1112	175
864	1113	173
865	1115	172
866	1116	171
867	1117	169
868	1118	168
869	1119	167
870	1120	165
871	1121	164
872	1122	163
873	1123	162
874	1124	160
875	1125	159
876	1126	158
877	1127	156
878	1129	155
879	1130	154
880	1131	152
881	1132	151
882	1133	150
883	1134	148
884	1135	147
885	1136	146
886	1137	144
887	1138	143
888	1139	142
889	1140	140
890	1141	139
891	1142	138
892	1143	137
893	1144	135
894	1145	134
895	1146	133
896	1147	131
897	1148	130
898	1149	129
899	1150	127
900	1151	126
901	1152	125
902	1153	123
903	1154	122
904	1155	121
905	1156	119
906	1157	118
907	1158	117
908	1159	116
909	1160	114
910	1161	113
911	1162	112
912	1163	110
913	1164	109
914	1165	108
915	1166	106
916	1167	105
917	1168	104
918	1168	103
919	1169	101
920	1170	100
921	1171	99
922	1172	97
923	1173	96
924	1174	95
925	1175	93
926	1176	92
927	1177	91
928	1178	90
929	1179	88
930	1180	87
931	1181	86
932	1182	84
933	1183	83
934	1184	82
935	1185	81
936	1186	79
937	1187	78
938	1188	77
939	1189	75
940	1190	74
941	1191	73
942	1192	72
943	1193	70
944	1194	69
945	1195	68
946	1196	66
947	1197	65
948	1198	64
949	1198	63
950	1199	61
951	1200	60
952	1201	59
953	1202	58
954	1204	56
955	1205	55
956	1206	54
957	1207	52
958	1208	51
959	1209	50
960	1210	49
961	1211	47
962	1212	46
963	1213	45
964	1214	44
965	1215	42
966	1215	41
967	1216	40
968	1217	38
969	1218	37
970	1219	36
971	1220	35
972	1221	33
973	1222	32
974	1223	31
975	1224	30
976	1225	28
977	1226	27
978	1227	26
979	1228	25
980	1229	23
981	1230	22
982	1231	21
983	1232	20
984	1233	18
985	1234	17
986	1235	16
987	1236	15
988	1237	13
989	1238	12
990	1239	11
991	1240	10
992	1241	8
993	1242	7
994	1243	6
995	1244	4
996	1245	3
997	1246	2
998	1247	1
999	1249	0
